Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*c_{l_71,%eta_160}(p_2)_v^(*)*c_{k_71,%eps_82}(p_1)_u*e_{i_73,%gam_176}(p_3)_u^(*)*e_{j_73,%del_176}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  OffShell e_alpha_251(X)  AntiPart OffShell e_eta_514(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_828,%eta_512,%gam_766}*gamma_{%\sigma_828,%gam_767,%eps_189}*c_{l_168,%eta_512}(p_2)_v^(*)*c_{k_168,%gam_766}(p_1)_u*e_{i_170,%gam_767}(p_3)_u^(*)*e_{j_170,%eps_189}(p_4)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  AntiPart e_del_425(X)^(*)  e_eps_208(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_878,%eta_539,%gam_817}*gamma_{%\sigma_878,%gam_818,%del_422}*c_{k_175,%gam_817}(p_1)_u*c_{l_175,%eta_539}(p_2)_v^(*)*e_{j_177,%gam_818}(p_4)_u^(*)*e_{i_177,%del_422}(p_3)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  AntiPart e_del_425(X)^(*)  OffShell e_gam_872(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_917,%eta_566,%gam_868}*gamma_{%\sigma_917,%gam_869,%del_454}*c_{l_182,%eta_566}(p_2)_v^(*)*c_{k_182,%gam_868}(p_1)_u*e_{i_184,%del_454}(p_3)_v*e_{j_184,%gam_869}(p_4)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  AntiPart OffShell e_gam_922(X)^(*)  e_del_491(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_974,%eta_593,%gam_918}*gamma_{%\sigma_974,%gam_919,%del_488}*c_{k_193,%gam_918}(p_1)_u*c_{l_193,%eta_593}(p_2)_v^(*)*e_{i_195,%del_488}(p_3)_v*e_{j_195,%gam_919}(p_4)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  c_gam_178(X)^(*)  AntiPart OffShell c_del_351(X)  to  AntiPart OffShell e_gam_922(X)^(*)  OffShell e_beta_141(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1007,%eta_620,%gam_973}*gamma_{%\sigma_1007,%gam_974,%gam_975}*c_{l_200,%eta_620}(p_2)_v^(*)*c_{k_200,%gam_973}(p_1)_u*e_{i_202,%gam_975}(p_3)_v*e_{j_202,%gam_974}(p_4)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  e_del_585(X)  AntiPart e_eps_264(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1229,%eta_694,%del_581}*gamma_{%\sigma_1229,%gam_1082,%del_582}*c_{l_279,%eta_694}(p_2)_v^(*)*c_{k_279,%del_581}(p_1)_u*e_{i_281,%gam_1082}(p_3)_u^(*)*e_{j_281,%del_582}(p_4)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  e_del_585(X)  AntiPart OffShell e_eps_268(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1268,%gam_1116,%beta_197}*gamma_{%\sigma_1268,%gam_1117,%del_630}*c_{k_286,%beta_197}(p_1)_u*c_{l_286,%gam_1116}(p_2)_v^(*)*e_{j_288,%del_630}(p_4)_v*e_{i_288,%gam_1117}(p_3)_u^(*)/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  OffShell e_alpha_377(X)  AntiPart e_beta_225(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1317,%gam_1166,%beta_222}*gamma_{%\sigma_1317,%gam_1167,%eta_735}*c_{l_297,%gam_1166}(p_2)_v^(*)*c_{k_297,%beta_222}(p_1)_u*e_{j_299,%eta_735}(p_4)_v*e_{i_299,%gam_1167}(p_3)_u^(*)/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  OffShell e_alpha_377(X)  AntiPart OffShell e_eta_760(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1350,%gam_1216,%beta_247}*gamma_{%\sigma_1350,%gam_1217,%eps_282}*c_{l_304,%gam_1216}(p_2)_v^(*)*c_{k_304,%beta_247}(p_1)_u*e_{i_306,%gam_1217}(p_3)_u^(*)*e_{j_306,%eps_282}(p_4)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  AntiPart e_del_679(X)^(*)  e_eps_301(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1400,%gam_1267,%beta_273}*gamma_{%\sigma_1400,%gam_1268,%del_677}*c_{k_311,%beta_273}(p_1)_u*c_{l_311,%gam_1267}(p_2)_v^(*)*e_{j_313,%gam_1268}(p_4)_u^(*)*e_{i_313,%del_677}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  AntiPart e_del_679(X)^(*)  OffShell e_gam_1322(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1439,%gam_1318,%beta_302}*gamma_{%\sigma_1439,%gam_1319,%del_705}*c_{k_318,%beta_302}(p_1)_u*c_{l_318,%gam_1318}(p_2)_v^(*)*e_{i_320,%del_705}(p_3)_v*e_{j_320,%gam_1319}(p_4)_u^(*)/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  AntiPart OffShell e_gam_1372(X)^(*)  e_del_737(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1488,%gam_1368,%beta_331}*gamma_{%\sigma_1488,%gam_1369,%del_735}*c_{l_329,%gam_1368}(p_2)_v^(*)*c_{k_329,%beta_331}(p_1)_u*e_{j_331,%gam_1369}(p_4)_u^(*)*e_{i_331,%del_735}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart c_gam_1084(X)  to  AntiPart OffShell e_gam_1372(X)^(*)  OffShell e_beta_360(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1521,%gam_1423,%beta_357}*gamma_{%\sigma_1521,%gam_1424,%gam_1425}*c_{l_336,%gam_1423}(p_2)_v^(*)*c_{k_336,%beta_357}(p_1)_u*e_{j_338,%gam_1424}(p_4)_u^(*)*e_{i_338,%gam_1425}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  e_del_774(X)  AntiPart e_eps_311(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1591,%eta_806,%beta_387}*gamma_{%\sigma_1591,%gam_1488,%del_772}*c_{k_351,%beta_387}(p_1)_u*c_{l_351,%eta_806}(p_2)_v^(*)*e_{i_353,%gam_1488}(p_3)_u^(*)*e_{j_353,%del_772}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  e_del_774(X)  AntiPart OffShell e_del_798(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1639,%gam_1527,%beta_415}*gamma_{%\sigma_1639,%gam_1528,%gam_1529}*c_{k_358,%beta_415}(p_1)_u*c_{l_358,%gam_1527}(p_2)_v^(*)*e_{i_360,%gam_1528}(p_3)_u^(*)*e_{j_360,%gam_1529}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  OffShell e_eta_841(X)  AntiPart e_alpha_459(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1688,%gam_1595,%beta_440}*gamma_{%\sigma_1688,%gam_1596,%eps_321}*c_{k_369,%beta_440}(p_1)_u*c_{l_369,%gam_1595}(p_2)_v^(*)*e_{i_371,%gam_1596}(p_3)_u^(*)*e_{j_371,%eps_321}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  OffShell e_eta_841(X)  AntiPart OffShell e_eps_352(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1733,%gam_1645,%beta_465}*gamma_{%\sigma_1733,%gam_1646,%del_838}*c_{l_376,%gam_1645}(p_2)_v^(*)*c_{k_376,%beta_465}(p_1)_u*e_{i_378,%gam_1646}(p_3)_u^(*)*e_{j_378,%del_838}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  AntiPart e_gam_1697(X)^(*)  e_del_868(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1765,%gam_1693,%beta_491}*gamma_{%\sigma_1765,%gam_1694,%del_866}*c_{k_383,%beta_491}(p_1)_u*c_{l_383,%gam_1693}(p_2)_v^(*)*e_{i_385,%del_866}(p_3)_v*e_{j_385,%gam_1694}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  AntiPart e_gam_1697(X)^(*)  OffShell e_beta_520(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1812,%gam_1748,%beta_517}*gamma_{%\sigma_1812,%gam_1749,%gam_1750}*c_{k_390,%beta_517}(p_1)_u*c_{l_390,%gam_1748}(p_2)_v^(*)*e_{j_392,%gam_1749}(p_4)_u^(*)*e_{i_392,%gam_1750}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
