Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  e_eps_85(X)  AntiPart e_eta_152(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_327,%gam_186,%del_182}*gamma_{%\tau_327,%gam_187,%eps_82}*b_{k_71,%eps_82}(p_1)_u*b_{l_71,%gam_187}(p_2)_v^(*)*e_{i_73,%gam_186}(p_3)_u^(*)*e_{j_73,%del_182}(p_4)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  OffShell e_alpha_185(X)  AntiPart OffShell e_eta_228(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_805,%gam_1051,%eps_189}*gamma_{%\tau_805,%gam_1052,%gam_1053}*b_{l_168,%gam_1052}(p_2)_v^(*)*b_{k_168,%gam_1053}(p_1)_u*e_{i_170,%gam_1051}(p_3)_u^(*)*e_{j_170,%eps_189}(p_4)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  AntiPart e_del_503(X)^(*)  e_eps_208(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_848,%gam_1127,%del_500}*gamma_{%\tau_848,%gam_1128,%gam_1129}*b_{l_175,%gam_1128}(p_2)_v^(*)*b_{k_175,%gam_1129}(p_1)_u*e_{j_177,%gam_1127}(p_4)_u^(*)*e_{i_177,%del_500}(p_3)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  AntiPart e_del_503(X)^(*)  OffShell e_gam_1208(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_881,%gam_1203,%del_538}*gamma_{%\tau_881,%gam_1204,%gam_1205}*b_{k_182,%gam_1205}(p_1)_u*b_{l_182,%gam_1204}(p_2)_v^(*)*e_{j_184,%gam_1203}(p_4)_u^(*)*e_{i_184,%del_538}(p_3)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  AntiPart OffShell e_gam_1283(X)^(*)  e_del_581(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_930,%gam_1278,%del_578}*gamma_{%\tau_930,%gam_1279,%gam_1280}*b_{k_193,%gam_1280}(p_1)_u*b_{l_193,%gam_1279}(p_2)_v^(*)*e_{j_195,%gam_1278}(p_4)_u^(*)*e_{i_195,%del_578}(p_3)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_gam_189(X)^(*)  AntiPart OffShell b_del_405(X)  to  AntiPart OffShell e_gam_1283(X)^(*)  OffShell e_beta_141(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_969,%gam_1358,%gam_1359}*gamma_{%\tau_969,%gam_1360,%gam_1361}*b_{k_200,%gam_1361}(p_1)_u*b_{l_200,%gam_1360}(p_2)_v^(*)*e_{j_202,%gam_1358}(p_4)_u^(*)*e_{i_202,%gam_1359}(p_3)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  e_del_687(X)  AntiPart e_eps_264(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1192,%gam_1492,%del_683}*gamma_{%\tau_1192,%gam_1493,%del_684}*b_{l_279,%gam_1493}(p_2)_v^(*)*b_{k_279,%del_684}(p_1)_u*e_{j_281,%del_683}(p_4)_v*e_{i_281,%gam_1492}(p_3)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  e_del_687(X)  AntiPart OffShell e_eps_268(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1225,%gam_1547,%del_742}*gamma_{%\tau_1225,%gam_1548,%del_743}*b_{l_286,%gam_1548}(p_2)_v^(*)*b_{k_286,%del_743}(p_1)_u*e_{j_288,%del_742}(p_4)_v*e_{i_288,%gam_1547}(p_3)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  OffShell e_alpha_263(X)  AntiPart e_beta_201(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1282,%gam_1603,%eta_298}*gamma_{%\tau_1282,%gam_1604,%del_796}*b_{k_297,%del_796}(p_1)_u*b_{l_297,%gam_1604}(p_2)_v^(*)*e_{i_299,%gam_1603}(p_3)_u^(*)*e_{j_299,%eta_298}(p_4)_v/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  OffShell e_alpha_263(X)  AntiPart OffShell e_eta_317(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1321,%gam_1659,%eps_282}*gamma_{%\tau_1321,%gam_1660,%del_829}*b_{l_304,%gam_1660}(p_2)_v^(*)*b_{k_304,%del_829}(p_1)_u*e_{j_306,%eps_282}(p_4)_v*e_{i_306,%gam_1659}(p_3)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  AntiPart e_del_867(X)^(*)  e_eps_301(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1364,%gam_1716,%del_864}*gamma_{%\tau_1364,%gam_1717,%del_865}*b_{l_311,%gam_1717}(p_2)_v^(*)*b_{k_311,%del_865}(p_1)_u*e_{j_313,%gam_1716}(p_4)_u^(*)*e_{i_313,%del_864}(p_3)_v/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  AntiPart e_del_867(X)^(*)  OffShell e_gam_1777(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1397,%gam_1773,%del_917}*gamma_{%\tau_1397,%gam_1774,%del_918}*b_{k_318,%del_918}(p_1)_u*b_{l_318,%gam_1774}(p_2)_v^(*)*e_{i_320,%del_917}(p_3)_v*e_{j_320,%gam_1773}(p_4)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  AntiPart OffShell e_gam_1833(X)^(*)  e_del_975(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1454,%gam_1829,%del_972}*gamma_{%\tau_1454,%gam_1830,%del_973}*b_{l_329,%gam_1830}(p_2)_v^(*)*b_{k_329,%del_973}(p_1)_u*e_{i_331,%del_972}(p_3)_v*e_{j_331,%gam_1829}(p_4)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart b_gam_1495(X)  to  AntiPart OffShell e_gam_1833(X)^(*)  OffShell e_beta_241(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1501,%gam_1890,%gam_1891}*gamma_{%\tau_1501,%gam_1892,%del_1020}*b_{l_336,%gam_1892}(p_2)_v^(*)*b_{k_336,%del_1020}(p_1)_u*e_{i_338,%gam_1891}(p_3)_v*e_{j_338,%gam_1890}(p_4)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart OffShell b_gam_1968(X)  to  e_del_1062(X)  AntiPart e_eps_311(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1564,%gam_1965,%del_1059}*gamma_{%\tau_1564,%gam_1966,%del_1060}*b_{k_351,%del_1060}(p_1)_u*b_{l_351,%gam_1966}(p_2)_v^(*)*e_{i_353,%gam_1965}(p_3)_u^(*)*e_{j_353,%del_1059}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart OffShell b_gam_1968(X)  to  e_del_1062(X)  AntiPart OffShell e_del_1111(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1614,%gam_2025,%gam_2026}*gamma_{%\tau_1614,%gam_2027,%del_1108}*b_{l_358,%gam_2027}(p_2)_v^(*)*b_{k_358,%del_1108}(p_1)_u*e_{j_360,%gam_2026}(p_4)_v*e_{i_360,%gam_2025}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart OffShell b_gam_1968(X)  to  OffShell e_eta_337(X)  AntiPart e_alpha_297(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1671,%gam_2099,%eps_321}*gamma_{%\tau_1671,%gam_2100,%del_1147}*b_{k_369,%del_1147}(p_1)_u*b_{l_369,%gam_2100}(p_2)_v^(*)*e_{j_371,%eps_321}(p_4)_v*e_{i_371,%gam_2099}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart OffShell b_gam_1968(X)  to  OffShell e_eta_337(X)  AntiPart OffShell e_eps_352(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1721,%gam_2155,%del_1200}*gamma_{%\tau_1721,%gam_2156,%del_1201}*b_{k_376,%del_1201}(p_1)_u*b_{l_376,%gam_2156}(p_2)_v^(*)*e_{i_378,%gam_2155}(p_3)_u^(*)*e_{j_378,%del_1200}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart OffShell b_gam_1968(X)  to  AntiPart e_gam_2213(X)^(*)  e_del_1256(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1759,%gam_2209,%del_1253}*gamma_{%\tau_1759,%gam_2210,%del_1254}*b_{l_383,%gam_2210}(p_2)_v^(*)*b_{k_383,%del_1254}(p_1)_u*e_{j_385,%gam_2209}(p_4)_u^(*)*e_{i_385,%del_1253}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell b_beta_189(X)^(*)  AntiPart OffShell b_gam_1968(X)  to  AntiPart e_gam_2213(X)^(*)  OffShell e_beta_287(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell b(X_1), AntiPart  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_1792,%gam_2270,%gam_2271}*gamma_{%\tau_1792,%gam_2272,%del_1301}*b_{k_390,%del_1301}(p_1)_u*b_{l_390,%gam_2272}(p_2)_v^(*)*e_{j_392,%gam_2270}(p_4)_u^(*)*e_{i_392,%gam_2271}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
